
央视频道,#genre#
CCTV-风云剧场,http:/huangfeiyan.top/zb/CCTV-FYJC.m3u8
CCTV-老故事,http:/huangfeiyan.top/zb/CCTV-LGS.m3u8
CCTV-中学生,http:/huangfeiyan.top/zb/CCTV-ZXS.m3u8
CCTV-发现之旅,http:/huangfeiyan.top/zb/CCTV-FXZL.m3u8
CCTV-书画,http:/huangfeiyan.top/zb/CCTV-SH.m3u8
CCTV-中国交通频道·贵州,http:/huangfeiyan.top/zb/CCTV-GZJT.m3u8
CETV-1,http:/huangfeiyan.top/zb/CETV-1.m3u8
CCTV-天元围棋,http:/huangfeiyan.top/zb/CCTV-TYWQ.m3u8
CCTV-环球奇观,http:/huangfeiyan.top/zb/CCTV-HQQG.m3u8
CCTV-汽摩,http:/huangfeiyan.top/zb/CCTV-QM.m3u8
CCTV-国学频道,http:/huangfeiyan.top/zb/CCTV-GXPD.m3u8
CCTV1-综合,http:/huangfeiyan.top/zb1/CCTV1.m3u8
CCTV2-财经,http:/huangfeiyan.top/zb1/CCTV2.m3u8
CCTV3-综艺,http:/huangfeiyan.top/zb1/CCTV3.m3u8
CCTV4-中文国际,http:/huangfeiyan.top/zb1/CCTV4.m3u8
CCTV5-体育,http:/huangfeiyan.top/zb1/CCTV5.m3u8
CCTV5＋,http:/huangfeiyan.top/zb1/CCTV5+.m3u8
CCTV6-电影,http:/huangfeiyan.top/zb1/CCTV6.m3u8
CCTV7-国防军事,http:/huangfeiyan.top/zb1/CCTV7.m3u8
CCTV8-电视剧,http:/huangfeiyan.top/zb1/CCTV8.m3u8
CCTV9-纪录,http:/huangfeiyan.top/zb1/CCTV9.m3u8
CCTV10-科教,http:/huangfeiyan.top/zb1/CCTV10.m3u8
CCTV11-戏曲,http:/huangfeiyan.top/zb1/CCTV11.m3u8
CCTV12-社会与法,http:/huangfeiyan.top/zb1/CCTV12.m3u8
CCTV13--新闻,http:/huangfeiyan.top/zb1/CCTV13.m3u8
CCTV14-少儿,http:/huangfeiyan.top/zb1/CCTV14.m3u8
CCTV15-音乐,http:/huangfeiyan.top/zb1/CCTV15.m3u8
